name;open;high;low;close;volume;marketCap;timestamp
"2781";75902.832566501;77252.7476648638;75648.741198608;76545.4766431325;55176858002.62;1514255354916.4;"2024-11-08T00:00:00.000Z"
"2781";76556.1911313233;76932.7639895921;75773.788516772;76778.8677516165;29009480361.15;1518690764416.78;"2024-11-09T00:00:00.000Z"
"2781";76775.5438015685;81474.4238878783;76565.429933246;80474.185602194;82570594494.54;1591750610705.99;"2024-11-10T00:00:00.000Z"
"2781";80471.4131920498;89604.4978355824;80283.2476219227;88701.488084206;117966845037.02;1754682553469.65;"2024-11-11T00:00:00.000Z"
"2781";88705.5644865659;89956.882361506;85155.1115052484;87955.8098216397;133673285374.5;1739381625716.84;"2024-11-12T00:00:00.000Z"
"2781";87929.9667732448;93434.3553403447;86256.9319678433;90584.1666733787;123559027868.7;1791737553113.66;"2024-11-13T00:00:00.000Z"
"2781";90574.8820553752;91765.221369439;86682.8158227338;87250.4312745932;87616705247.88;1727562262252.15;"2024-11-14T00:00:00.000Z"
"2781";87284.1830981024;91868.744436111;87124.9008601843;91066.0069552759;78243109518.27;1801436194834.93;"2024-11-15T00:00:00.000Z"
"2781";91064.3662256104;91763.9478843873;90094.2253690597;90558.4752358199;44333192813.6;1791535825197.71;"2024-11-16T00:00:00.000Z"
"2781";90558.4631117088;91433.04050285;88741.6658321694;89845.8512088281;46350159305.48;1777526304284.46;"2024-11-17T00:00:00.000Z"
"2781";89843.7154789328;92596.7889194348;89393.5905739655;90542.6439962666;75535775084.26;1791255587562.26;"2024-11-18T00:00:00.000Z"
"2781";90536.8115264555;94002.8701076919;90426.9853808707;92343.7920549007;74521048294.81;1826956673335;"2024-11-19T00:00:00.000Z"
"2781";92341.8941573535;94902.0235761485;91619.4963973839;94339.4950270085;71730956426.31;1866427425875.83;"2024-11-20T00:00:00.000Z"
"2781";94334.6432809324;99014.214912061;94132.6009666759;98504.7275898154;106024505581.86;1948797365352.85;"2024-11-21T00:00:00.000Z"
"2781";98496.4294867186;99655.5010786335;97222.6670416634;98997.662080436;78473580550.87;1958954432126.85;"2024-11-22T00:00:00.000Z"
"2781";99006.7422747472;99014.6778634921;97232.893115107;97777.279763055;44414644676.69;1934627418210.28;"2024-11-23T00:00:00.000Z"
"2781";97778.0973586439;98647.1775807062;95788.0769955707;98013.8209078789;51712020622.89;1937919789263.12;"2024-11-24T00:00:00.000Z"
"2781";98033.4427003163;98935.0318069042;92642.9148612771;93102.2952135852;80909462490;1842257290730.95;"2024-11-25T00:00:00.000Z"
"2781";93087.2799915931;94991.7499693653;90770.8150406524;91985.3168304103;91656519855.42;1820053564596.46;"2024-11-26T00:00:00.000Z"
"2781";91978.1385818315;97361.1819357048;91778.6612119403;95962.5284193169;71133452438.22;1898774680758.02;"2024-11-27T00:00:00.000Z"
"2781";95954.9448816703;96650.2037683052;94677.3542961871;95652.4651587091;52260008260.61;1892868519535.94;"2024-11-28T00:00:00.000Z"
"2781";95653.9525935763;98693.1681672557;95407.8863720956;97461.5237129843;54968682476.36;1928820661174.08;"2024-11-29T00:00:00.000Z"
"2781";97468.8124452958;97499.3424017154;96144.2198283204;96449.0558127732;31634227866.46;1908652965665.17;"2024-11-30T00:00:00.000Z"
"2781";96461.3368002386;97888.1272696056;95770.1844650506;97279.7929223558;36590695296.24;1924784957143.68;"2024-12-01T00:00:00.000Z"
"2781";97276.0101170567;98152.5982470177;94482.8633434321;95865.3016323752;72680784305.11;1896994040043.38;"2024-12-02T00:00:00.000Z"
"2781";95854.5974342939;96297.2000609749;93629.5598937809;96002.162144032;67067810961.23;1899532461067.09;"2024-12-03T00:00:00.000Z"
"2781";95988.5287123714;99207.3250728128;94660.5232511768;98768.5275553455;77199817111.98;1954156097012.25;"2024-12-04T00:00:00.000Z"
"2781";98741.5393815507;103900.4721472336;91998.781701436;96593.5722722098;149218945579.65;1911777565577.02;"2024-12-05T00:00:00.000Z"
"2781";97074.2248322286;102039.8817958907;96514.8760817966;99920.7147303285;94534772657.92;1977630964720.96;"2024-12-06T00:00:00.000Z"
"2781";99891.1549397146;100559.6950178586;99083.9548611899;99644.6266633149;0;0;"2024-12-07T00:00:00Z"
